Symbol,Period,Metric,Value
AAPL,2015-09,Debt Current,10999
AAPL,2015-09,Current Liabilities,80610
AAPL,2015-09,Debt Non-Current,53329
AAPL,2015-09,Deferred Revenue,12564
AAPL,2015-09,Tax Liabilities,0
AAPL,2015-09,Deposit Liabilities,0
AAPL,2015-09,Liabilities Non-Current,90380
AAPL,2015-09,Total Liabilities,170990
AAPL,2015-09,Accumulated Other Comprehensive Income,-345
AAPL,2015-09,Accumulated Retained Earnings (Deficit),92284
AAPL,2015-09,Shareholders Equity,119355
AAPL,2015-09,Investments,184546
AAPL,2015-09,Total Debt,64328
AAPL,2015-09,Cash and Short Term Investments,41601
AAPL,2015-06,Cash and Equivalents,15319
AAPL,2015-06,Investments Current,19384
AAPL,2015-06,Trade and Non-Trade Receivables,19907
AAPL,2015-06,Inventory,2042
AAPL,2015-06,Current Assets,70953
AAPL,2015-06,Property, Plant & Equipment Net,21149
AAPL,2015-06,Goodwill and Intangible Assets,8823
AAPL,2015-06,Investments Non-Current,168145
AAPL,2015-06,Tax Assets,5010
AAPL,2015-06,Assets Non-Current,202198
AAPL,2015-06,Total Assets,273151
AAPL,2015-06,Trade and Non-Trade Payables,26474
AAPL,2015-06,Debt Current,6999
AAPL,2015-06,Current Liabilities,65285
AAPL,2015-06,Debt Non-Current,47419
AAPL,2015-06,Deferred Revenue,12562
AAPL,2015-06,Tax Liabilities,0
AAPL,2015-06,Deposit Liabilities,0
AAPL,2015-06,Liabilities Non-Current,82189
AAPL,2015-06,Total Liabilities,147474
AAPL,2015-06,Accumulated Other Comprehensive Income,1098
AAPL,2015-06,Accumulated Retained Earnings (Deficit),98252
AAPL,2015-06,Shareholders Equity,125677
AAPL,2015-06,Investments,187529
AAPL,2015-06,Total Debt,54418
AAPL,2015-06,Cash and Short Term Investments,34703
AAPL,2015-03,Cash and Equivalents,14489
AAPL,2015-03,Investments Current,18607
AAPL,2015-03,Trade and Non-Trade Receivables,18164
AAPL,2015-03,Inventory,2396
AAPL,2015-03,Current Assets,67891
AAPL,2015-03,Property, Plant & Equipment Net,20151
AAPL,2015-03,Goodwill and Intangible Assets,8772
AAPL,2015-03,Investments Non-Current,160443
AAPL,2015-03,Tax Assets,5141
AAPL,2015-03,Assets Non-Current,193303
AAPL,2015-03,Total Assets,261194
AAPL,2015-03,Trade and Non-Trade Payables,23159
AAPL,2015-03,Debt Current,3799
AAPL,2015-03,Current Liabilities,58729
AAPL,2015-03,Debt Non-Current,40072
AAPL,2015-03,Deferred Revenue,12515
AAPL,2015-03,Tax Liabilities,0
AAPL,2015-03,Deposit Liabilities,0
AAPL,2015-03,Liabilities Non-Current,73459
AAPL,2015-03,Total Liabilities,132188
AAPL,2015-03,Accumulated Other Comprehensive Income,2710
AAPL,2015-03,Accumulated Retained Earnings (Deficit),100920
AAPL,2015-03,Shareholders Equity,129006
AAPL,2015-03,Investments,179050
AAPL,2015-03,Total Debt,43871
AAPL,2015-03,Cash and Short Term Investments,33096
AAPL,2014-12,Cash and Equivalents,19478
AAPL,2014-12,Investments Current,12985
AAPL,2014-12,Trade and Non-Trade Receivables,29976
AAPL,2014-12,Inventory,2283
AAPL,2014-12,Current Assets,83403
AAPL,2014-12,Property, Plant & Equipment Net,20392
AAPL,2014-12,Goodwill and Intangible Assets,8999
AAPL,2014-12,Investments Non-Current,145492
AAPL,2014-12,Tax Assets,5046
AAPL,2014-12,Assets Non-Current,178491
AAPL,2014-12,Total Assets,261894
AAPL,2014-12,Trade and Non-Trade Payables,38001
AAPL,2014-12,Debt Current,3899
AAPL,2014-12,Current Liabilities,73611
AAPL,2014-12,Debt Non-Current,32504
AAPL,2014-12,Deferred Revenue,12467
AAPL,2014-12,Tax Liabilities,0
AAPL,2014-12,Deposit Liabilities,0
AAPL,2014-12,Liabilities Non-Current,64955
AAPL,2014-12,Total Liabilities,138566
AAPL,2014-12,Accumulated Other Comprehensive Income,1963
AAPL,2014-12,Accumulated Retained Earnings (Deficit),97178
AAPL,2014-12,Shareholders Equity,123328
AAPL,2014-12,Investments,158477
AAPL,2014-12,Total Debt,36403
AAPL,2014-12,Cash and Short Term Investments,32463
AAPL,2014-09,Cash and Equivalents,13844
AAPL,2014-09,Investments Current,11233
AAPL,2014-09,Trade and Non-Trade Receivables,27219
AAPL,2014-09,Inventory,2111
AAPL,2014-09,Current Assets,68531
AAPL,2014-09,Property, Plant & Equipment Net,20624
AAPL,2014-09,Goodwill and Intangible Assets,8758
AAPL,2014-09,Investments Non-Current,130162
AAPL,2014-09,Tax Assets,4318
AAPL,2014-09,Assets Non-Current,163308
AAPL,2014-09,Total Assets,231839
AAPL,2014-09,Trade and Non-Trade Payables,30196
AAPL,2014-09,Debt Current,6308
AAPL,2014-09,Current Liabilities,63448
AAPL,2014-09,Debt Non-Current,28987
AAPL,2014-09,Deferred Revenue,11522
AAPL,2014-09,Tax Liabilities,0
AAPL,2014-09,Deposit Liabilities,0
AAPL,2014-09,Liabilities Non-Current,56844
AAPL,2014-09,Total Liabilities,120292
AAPL,2014-09,Accumulated Other Comprehensive Income,1082
AAPL,2014-09,Accumulated Retained Earnings (Deficit),87152
AAPL,2014-09,Shareholders Equity,111547
AAPL,2014-09,Investments,141395
AAPL,2014-09,Total Debt,35295
AAPL,2014-09,Cash and Short Term Investments,25077
AAPL,2014-06,Cash and Equivalents,12977
AAPL,2014-06,Investments Current,24828
AAPL,2014-06,Trade and Non-Trade Receivables,16841
AAPL,2014-06,Inventory,1594
AAPL,2014-06,Current Assets,67949
AAPL,2014-06,Property, Plant & Equipment Net,17585
AAPL,2014-06,Goodwill and Intangible Assets,6141
AAPL,2014-06,Investments Non-Current,126685
AAPL,2014-06,Tax Assets,3884
AAPL,2014-06,Assets Non-Current,154571
AAPL,2014-06,Total Assets,222520
AAPL,2014-06,Trade and Non-Trade Payables,20535
AAPL,2014-06,Debt Current,2010
AAPL,2014-06,Current Liabilities,46205
AAPL,2014-06,Debt Non-Current,29030
AAPL,2014-06,Deferred Revenue,11454
AAPL,2014-06,Tax Liabilities,0
AAPL,2014-06,Deposit Liabilities,0
AAPL,2014-06,Liabilities Non-Current,55375
AAPL,2014-06,Total Liabilities,101580
AAPL,2014-06,Accumulated Other Comprehensive Income,86
AAPL,2014-06,Accumulated Retained Earnings (Deficit),98715
AAPL,2014-06,Shareholders Equity,120940
AAPL,2014-06,Investments,151513
AAPL,2014-06,Total Debt,31040
AAPL,2014-06,Cash and Short Term Investments,37805
AAPL,2014-03,Cash and Equivalents,18949
AAPL,2014-03,Investments Current,22401
AAPL,2014-03,Trade and Non-Trade Receivables,15820
AAPL,2014-03,Inventory,1829
AAPL,2014-03,Current Assets,70541
AAPL,2014-03,Property, Plant & Equipment Net,15120
AAPL,2014-03,Goodwill and Intangible Assets,5983
AAPL,2014-03,Investments Non-Current,109239
AAPL,2014-03,Tax Assets,4014
AAPL,2014-03,Assets Non-Current,135448
AAPL,2014-03,Total Assets,205989
AAPL,2014-03,Trade and Non-Trade Payables,18914
AAPL,2014-03,Debt Current,0
AAPL,2014-03,Current Liabilities,43208
AAPL,2014-03,Debt Non-Current,16962
AAPL,2014-03,Deferred Revenue,11474
AAPL,2014-03,Tax Liabilities,0
AAPL,2014-03,Deposit Liabilities,0
AAPL,2014-03,Liabilities Non-Current,42602
AAPL,2014-03,Total Liabilities,85810
AAPL,2014-03,Accumulated Other Comprehensive Income,-251
AAPL,2014-03,Accumulated Retained Earnings (Deficit),98934
AAPL,2014-03,Shareholders Equity,120179
AAPL,2014-03,Investments,131640
AAPL,2014-03,Total Debt,16962
AAPL,2014-03,Cash and Short Term Investments,41350
AAPL,2013-12,Cash and Equivalents,14077
AAPL,2013-12,Investments Current,26634
AAPL,2013-12,Trade and Non-Trade Receivables,25198
AAPL,2013-12,Inventory,2122
AAPL,2013-12,Current Assets,80347
AAPL,2013-12,Property, Plant & Equipment Net,15488
AAPL,2013-12,Goodwill and Intangible Assets,6127
AAPL,2013-12,Investments Non-Current,118131
AAPL,2013-12,Tax Assets,3742
AAPL,2013-12,Assets Non-Current,144837
AAPL,2013-12,Total Assets,225184
AAPL,2013-12,Trade and Non-Trade Payables,29588
AAPL,2013-12,Debt Current,0
AAPL,2013-12,Current Liabilities,53769
AAPL,2013-12,Debt Non-Current,16961
AAPL,2013-12,Deferred Revenue,11428
AAPL,2013-12,Tax Liabilities,0
AAPL,2013-12,Deposit Liabilities,0
AAPL,2013-12,Liabilities Non-Current,41731
AAPL,2013-12,Total Liabilities,95500
AAPL,2013-12,Accumulated Other Comprehensive Income,-306
AAPL,2013-12,Accumulated Retained Earnings (Deficit),109431
AAPL,2013-12,Shareholders Equity,129684
AAPL,2013-12,Investments,144765
AAPL,2013-12,Total Debt,16961
AAPL,2013-12,Cash and Short Term Investments,40711
AAPL,2013-09,Cash and Equivalents,14259
AAPL,2013-09,Investments Current,26287
AAPL,2013-09,Trade and Non-Trade Receivables,20641
AAPL,2013-09,Inventory,1764
AAPL,2013-09,Current Assets,73286
AAPL,2013-09,Property, Plant & Equipment Net,16597
AAPL,2013-09,Goodwill and Intangible Assets,5756
AAPL,2013-09,Investments Non-Current,106215
AAPL,2013-09,Tax Assets,3453
AAPL,2013-09,Assets Non-Current,133714
AAPL,2013-09,Total Assets,207000
AAPL,2013-09,Trade and Non-Trade Payables,22367
AAPL,2013-09,Debt Current,0
AAPL,2013-09,Current Liabilities,43658
AAPL,2013-09,Debt Non-Current,16960
AAPL,2013-09,Deferred Revenue,10060
AAPL,2013-09,Tax Liabilities,0
AAPL,2013-09,Deposit Liabilities,0
AAPL,2013-09,Liabilities Non-Current,39793
AAPL,2013-09,Total Liabilities,83451
AAPL,2013-09,Accumulated Other Comprehensive Income,-471
AAPL,2013-09,Accumulated Retained Earnings (Deficit),104256
AAPL,2013-09,Shareholders Equity,123549
AAPL,2013-09,Investments,132502
AAPL,2013-09,Total Debt,16960
AAPL,2013-09,Cash and Short Term Investments,40546
AAPL,2013-06,Cash and Equivalents,11248
AAPL,2013-06,Investments Current,31358
AAPL,2013-06,Trade and Non-Trade Receivables,13453
AAPL,2013-06,Inventory,1697
AAPL,2013-06,Current Assets,68219
AAPL,2013-06,Property, Plant & Equipment Net,16327
AAPL,2013-06,Goodwill and Intangible Assets,5875
AAPL,2013-06,Investments Non-Current,104014
AAPL,2013-06,Tax Assets,3193
AAPL,2013-06,Assets Non-Current,131637
AAPL,2013-06,Total Assets,199856
AAPL,2013-06,Trade and Non-Trade Payables,15516
AAPL,2013-06,Debt Current,0
AAPL,2013-06,Current Liabilities,36319
AAPL,2013-06,Debt Non-Current,16958
AAPL,2013-06,Deferred Revenue,10005
AAPL,2013-06,Tax Liabilities,0
AAPL,2013-06,Deposit Liabilities,0
AAPL,2013-06,Liabilities Non-Current,40183
AAPL,2013-06,Total Liabilities,76502
AAPL,2013-06,Accumulated Other Comprehensive Income,-234
AAPL,2013-06,Accumulated Retained Earnings (Deficit),104564
AAPL,2013-06,Shareholders Equity,123354
AAPL,2013-06,Investments,135372
AAPL,2013-06,Total Debt,16958
AAPL,2013-06,Cash and Short Term Investments,42606
AAPL,2013-03,Cash and Equivalents,12053
AAPL,2013-03,Investments Current,27084
AAPL,2013-03,Trade and Non-Trade Receivables,13336
AAPL,2013-03,Inventory,1245
AAPL,2013-03,Current Assets,63337
AAPL,2013-03,Property, Plant & Equipment Net,15026
AAPL,2013-03,Goodwill and Intangible Assets,5536
AAPL,2013-03,Investments Non-Current,105550
AAPL,2013-03,Tax Assets,3242
AAPL,2013-03,Assets Non-Current,131406
AAPL,2013-03,Total Assets,194743
AAPL,2013-03,Trade and Non-Trade Payables,14912
AAPL,2013-03,Debt Current,0
AAPL,2013-03,Current Liabilities,35508
AAPL,2013-03,Debt Non-Current,0
AAPL,2013-03,Deferred Revenue,10142
AAPL,2013-03,Tax Liabilities,0
AAPL,2013-03,Deposit Liabilities,0
AAPL,2013-03,Liabilities Non-Current,23745
AAPL,2013-03,Total Liabilities,59253
AAPL,2013-03,Accumulated Other Comprehensive Income,964
AAPL,2013-03,Accumulated Retained Earnings (Deficit),116572
AAPL,2013-03,Shareholders Equity,135490
AAPL,2013-03,Investments,132634
AAPL,2013-03,Total Debt,0
AAPL,2013-03,Cash and Short Term Investments,39137
AAPL,2012-12,Cash and Equivalents,16154
AAPL,2012-12,Investments Current,23666
AAPL,2012-12,Trade and Non-Trade Receivables,21534
AAPL,2012-12,Inventory,1455
AAPL,2012-12,Current Assets,72348
AAPL,2012-12,Property, Plant & Equipment Net,15422
AAPL,2012-12,Goodwill and Intangible Assets,5843
AAPL,2012-12,Investments Non-Current,97292
AAPL,2012-12,Tax Assets,2895
AAPL,2012-12,Assets Non-Current,123740
AAPL,2012-12,Total Assets,196088
AAPL,2012-12,Trade and Non-Trade Payables,26398
AAPL,2012-12,Debt Current,0
AAPL,2012-12,Current Liabilities,46879
AAPL,2012-12,Debt Non-Current,0
AAPL,2012-12,Deferred Revenue,10212
AAPL,2012-12,Tax Liabilities,0
AAPL,2012-12,Deposit Liabilities,0
AAPL,2012-12,Liabilities Non-Current,21863
AAPL,2012-12,Total Liabilities,68742
AAPL,2012-12,Accumulated Other Comprehensive Income,612
AAPL,2012-12,Accumulated Retained Earnings (Deficit),109567
AAPL,2012-12,Shareholders Equity,127346
AAPL,2012-12,Investments,120958
AAPL,2012-12,Total Debt,0
AAPL,2012-12,Cash and Short Term Investments,39820
AAPL,2012-09,Cash and Equivalents,10746
AAPL,2012-09,Investments Current,18383
AAPL,2012-09,Trade and Non-Trade Receivables,18692
AAPL,2012-09,Inventory,791
AAPL,2012-09,Current Assets,57653
AAPL,2012-09,Property, Plant & Equipment Net,15452
AAPL,2012-09,Goodwill and Intangible Assets,5359
AAPL,2012-09,Investments Non-Current,92122
AAPL,2012-09,Tax Assets,2583
AAPL,2012-09,Assets Non-Current,118411
AAPL,2012-09,Total Assets,176064
AAPL,2012-09,Trade and Non-Trade Payables,21175
AAPL,2012-09,Debt Current,0
AAPL,2012-09,Current Liabilities,38542
AAPL,2012-09,Debt Non-Current,0
AAPL,2012-09,Deferred Revenue,8601
AAPL,2012-09,Tax Liabilities,0
AAPL,2012-09,Deposit Liabilities,0
AAPL,2012-09,Liabilities Non-Current,19312
AAPL,2012-09,Total Liabilities,57854
AAPL,2012-09,Accumulated Other Comprehensive Income,499
AAPL,2012-09,Accumulated Retained Earnings (Deficit),101289
AAPL,2012-09,Shareholders Equity,118210
AAPL,2012-09,Investments,110505
AAPL,2012-09,Total Debt,0
AAPL,2012-09,Cash and Short Term Investments,29129
AAPL,2012-06,Cash and Equivalents,7945
AAPL,2012-06,Investments Current,19709
AAPL,2012-06,Trade and Non-Trade Receivables,14298
AAPL,2012-06,Inventory,1122
AAPL,2012-06,Current Assets,51943
AAPL,2012-06,Property, Plant & Equipment Net,10487
AAPL,2012-06,Goodwill and Intangible Assets,5461
AAPL,2012-06,Investments Non-Current,89567
AAPL,2012-06,Tax Assets,2309
AAPL,2012-06,Assets Non-Current,110953
AAPL,2012-06,Total Assets,162896
AAPL,2012-06,Trade and Non-Trade Payables,16808
AAPL,2012-06,Debt Current,0
AAPL,2012-06,Current Liabilities,33060
AAPL,2012-06,Debt Non-Current,0
AAPL,2012-06,Deferred Revenue,8352
AAPL,2012-06,Tax Liabilities,0
AAPL,2012-06,Deposit Liabilities,0
AAPL,2012-06,Liabilities Non-Current,18090
AAPL,2012-06,Total Liabilities,51150
AAPL,2012-06,Accumulated Other Comprehensive Income,532
AAPL,2012-06,Accumulated Retained Earnings (Deficit),95641
AAPL,2012-06,Shareholders Equity,111746
AAPL,2012-06,Investments,109276
AAPL,2012-06,Total Debt,0
AAPL,2012-06,Cash and Short Term Investments,27654
AAPL,2012-03,Cash and Equivalents,10121
AAPL,2012-03,Investments Current,18417
AAPL,2012-03,Trade and Non-Trade Receivables,13769
AAPL,2012-03,Inventory,1102
AAPL,2012-03,Current Assets,50712
AAPL,2012-03,Property, Plant & Equipment Net,8847
AAPL,2012-03,Goodwill and Intangible Assets,4745
AAPL,2012-03,Investments Non-Current,81638
AAPL,2012-03,Tax Assets,2253
AAPL,2012-03,Assets Non-Current,100222
AAPL,2012-03,Total Assets,150934
AAPL,2012-03,Trade and Non-Trade Payables,17011
AAPL,2012-03,Debt Current,0
AAPL,2012-03,Current Liabilities,32036
AAPL,2012-03,Debt Non-Current,0
AAPL,2012-03,Deferred Revenue,7693
AAPL,2012-03,Tax Liabilities,0
AAPL,2012-03,Deposit Liabilities,0
AAPL,2012-03,Liabilities Non-Current,16400
AAPL,2012-03,Total Liabilities,48436
AAPL,2012-03,Accumulated Other Comprehensive Income,524
AAPL,2012-03,Accumulated Retained Earnings (Deficit),87124
AAPL,2012-03,Shareholders Equity,102498
AAPL,2012-03,Investments,100055
AAPL,2012-03,Total Debt,0
AAPL,2012-03,Cash and Short Term Investments,28538
AAPL,2011-12,Cash and Equivalents,10310
AAPL,2011-12,Investments Current,19846
AAPL,2011-12,Trade and Non-Trade Receivables,16484
AAPL,2011-12,Inventory,1236
AAPL,2011-12,Current Assets,54771
AAPL,2011-12,Property, Plant & Equipment Net,7816
AAPL,2011-12,Goodwill and Intangible Assets,4368
AAPL,2011-12,Investments Non-Current,67445
AAPL,2011-12,Tax Assets,1937
AAPL,2011-12,Assets Non-Current,83910
AAPL,2011-12,Total Assets,138681
AAPL,2011-12,Trade and Non-Trade Payables,18221
AAPL,2011-12,Debt Current,0
AAPL,2011-12,Current Liabilities,34607
AAPL,2011-12,Debt Non-Current,0
AAPL,2011-12,Deferred Revenue,7073
AAPL,2011-12,Tax Liabilities,0
AAPL,2011-12,Deposit Liabilities,0
AAPL,2011-12,Liabilities Non-Current,14020
AAPL,2011-12,Total Liabilities,48627
AAPL,2011-12,Accumulated Other Comprehensive Income,384
AAPL,2011-12,Accumulated Retained Earnings (Deficit),75709
AAPL,2011-12,Shareholders Equity,90054
